date,company,role,ats,url,status,pay,tier,notes
2026-05-02 19:10,Cohere,Software Engineer Intern,ashby,https://jobs.ashbyhq.com/cohere/8c035d3d-081d-4c8a-914a-72f4efaad254/application,DRY_RUN,,,
2026-05-02 19:10,MUBI,AI Transformation Intern,ashby,https://jobs.ashbyhq.com/MUBI/342a53eb-345f-4172-9264-e26237792c24/application,DRY_RUN,,,
2026-05-02 19:10,Kira,Software Engineering Intern,ashby,https://jobs.ashbyhq.com/kira/22b09832-e23b-44a4-9c03-46512e14499c,DRY_RUN,,,
2026-05-02 23:04,Atomic Semi,Infrastructure Software Engineering Intern,ashby,https://jobs.ashbyhq.com/atomicsemi/867c67f7-20b5-4726-b9da-85a760d3851e,DRY_RUN,,,
2026-05-02 23:05,Vital Lyfe,Software Engineering Internship,ashby,https://jobs.ashbyhq.com/vital-lyfe/43a79d8f-a8bb-4c57-a411-1bac946128af,DRY_RUN,,,
2026-05-02 23:05,d-Matrix,Applied AI Engineering Intern,ashby,https://jobs.ashbyhq.com/d-Matrix/93a6e6ee-3391-4437-8459-e28eb05eace7/application,DRY_RUN,,,
2026-05-02 23:53,Cohere,Software Engineer Intern,ashby,https://jobs.ashbyhq.com/cohere/8c035d3d-081d-4c8a-914a-72f4efaad254/application,submitted,,,Ashby form submitted
2026-05-02 23:53,MUBI,AI Transformation Intern,ashby,https://jobs.ashbyhq.com/MUBI/342a53eb-345f-4172-9264-e26237792c24/application,submitted,,,Ashby form submitted
2026-05-02 23:54,Kira,Software Engineering Intern,ashby,https://jobs.ashbyhq.com/kira/22b09832-e23b-44a4-9c03-46512e14499c,ERROR,,,"Page.wait_for_timeout: Target page, context or browser has been closed"
2026-05-02 23:54,Atomic Semi,Infrastructure Software Engineering Intern,ashby,https://jobs.ashbyhq.com/atomicsemi/867c67f7-20b5-4726-b9da-85a760d3851e,ERROR,,,"Page.wait_for_timeout: Target page, context or browser has been closed"
2026-05-02 23:55,Vital Lyfe,Software Engineering Internship,ashby,https://jobs.ashbyhq.com/vital-lyfe/43a79d8f-a8bb-4c57-a411-1bac946128af,ERROR,,,"Page.wait_for_timeout: Target page, context or browser has been closed"
2026-05-02 23:55,d-Matrix,Applied AI Engineering Intern,ashby,https://jobs.ashbyhq.com/d-Matrix/93a6e6ee-3391-4437-8459-e28eb05eace7/application,submitted,,,Ashby form submitted
2026-05-02 23:56,Remedy Scientific,Software Engineering Intern,ashby,https://jobs.ashbyhq.com/Remedy%20Scientific/2e74c46f-cc91-487d-858d-62664f801efc/application,ERROR,,,"Page.wait_for_timeout: Target page, context or browser has been closed"
2026-05-02 23:56,Sieve,Software Engineering Intern,ashby,https://jobs.ashbyhq.com/sieve/b319e35e-2455-4c63-ae3d-721bc7dbffc9/application,submitted,,,Ashby form submitted
2026-05-02 23:56,Homebase,Forward Deployed Engineering Intern - AI-Native,ashby,https://jobs.ashbyhq.com/homebase/a7ab59c0-786e-4675-b684-2ed19b240fb2/application,submitted,,,Ashby form submitted
2026-05-03 00:05,ether.fi,GTM Engineer Intern,ashby,https://jobs.ashbyhq.com/ether.fi/6dcb712c-8fe5-4725-ad6a-0e9771af22cb/application,submitted,,,Ashby form submitted
2026-05-03 00:07,Blockhouse,Rust Developer Intern,ashby,https://jobs.ashbyhq.com/blockhouse/42a3066f-683c-4b32-b097-5047e89dd12c/application,submitted,,,Ashby form submitted
2026-05-03 00:08,Skydio,Autonomy Engineer Intern - Deep Learning - Computational Photography,ashby,https://jobs.ashbyhq.com/skydio/d13e3179-e646-4873-84a6-d492a692bc25/application,submitted,,,Ashby form submitted
2026-05-03 00:08,Context,Intern,ashby,https://jobs.ashbyhq.com/context/1c657ebf-3842-4ca4-ab55-54ffaf1e49d8/application,ERROR,,,"Locator.all: Target page, context or browser has been closed"
2026-05-03 00:10,Kognitos,Software Engineer Intern - AI-Native,ashby,https://jobs.ashbyhq.com/Kognitos/a3c5bd4c-f6fb-4eb0-b943-e0e1a1d878c5/application,submitted,,,Ashby form submitted
2026-05-03 00:13,Socure,Engineering Intern - AI Agents - Data & Riskos,ashby,https://jobs.ashbyhq.com/socure/e54f1700-c922-4bcc-a087-45b24717f974/application,submitted,,,Ashby form submitted
2026-05-10 17:04,Snowflake,Software Engineer Intern - Infrastructure Automation,ashby,https://jobs.ashbyhq.com/snowflake/bbdee8bd-443c-456f-a4f0-1b363d843310/application,BLOCKED,,,"Validation errors: Your form needs corrections

Missing entry for required field: SCHOOL NAME

Missing entry for required field: DEGREE

Missing entry for required field: DISCIPLINE

Missing entry for required field: WILL YOU REQUIRE COMPANY SPONSORSHIP NOW OR IN THE FUTURE TO MAINTAIN OR EXTEND YOUR CURRENT WORK AUTHORIZATION STATUS? 

Missing entry for required field: FOR THE LOCATION SPECIFIED IN THE JD, DO YOU REQUIRE IMMIGRATION SPONSORSHIP TO ESTABLISH, CONTINUE, OR EXTEND YOUR CURRENT WORK AUTHORIZATION STATUS, EITHER NOW OR IN THE FUTURE? (FOR EXAMPLE – THIS MAY BE J1, TN, F1, SCHENGEN VISA TYPE C OR D, STUDENT RESIDENCE PERMIT, ETC. THIS MAY BE SPONSORSHIP YOU HAVE ALREADY ARRANGED, OR SPONSORSHIP VIA SNOWFLAKE OR YOUR SCHOOL.) PLEASE INDICATE YES IF YOU HAVE OR NEED ANY IMMIGRATION SPONSORSHIP, OR IF YOU ARE UNSURE. IF YES, YOU WILL RECEIVE A FOLLOW-UP CHECKLIST WHERE YOU CAN INPUT DETAILED INFORMATION PERTAINING TO YOUR CURRENTLY HELD VISA AND/OR ADDITIONAL VISA NEEDS.

Missing entry for required field: PLEASE CONFIRM THE NUMBER OF HOURS PER WEEK YOU CAN WORK AND BE PRESENT IN THE OFFICE LOCATION SPECIFIED IN THE JOB DESCRIPTION (FULL-TIME IS 40 HOURS PER WEEK)

Missing entry for required field: IN OFFICE ATTENDANCE IS AN ESSENTIAL FUNCTION FOR THIS ROLE AND NECESSARY TO ENABLE EFFECTIVE TEAMWORK AND COLLABORATION. DO YOU CURRENTLY RESIDE WITHIN COMMUTING DISTANCE OR ARE YOU OPEN TO RELOCATION TO THE LOCAL SNOWFLAKE OFFICE(S) DESIGNATED IN THIS POST?

Missing entry for required field: WHERE HAVE YOU MOST RECENTLY WORKED?

Missing entry for required field: HAVE YOU WORKED AT SNOWFLAKE IN THE PAST IN A FULL-TIME, PART-TIME, CONTRACTOR OR INTERN CAPACITY?

Missing entry for required field: FOR SNOWFLAKE TO ANTICIPATE POSSIBLE IMMIGRATION TIMELINES AND OBLIGATIONS, COULD YOU CONFIRM YOU ARE CURRENTLY AUTHORIZED TO WORK IN THE COUNTRY TO WHICH YOU ARE APPLYING?

Missing entry for required field: A “U.S. PERSON” IS A CITIZEN, LEGAL PERMANENT RESIDENT, OR LEGAL TEMPORARY RESIDENT (I.E., A REFUGEE OR ASYLEE) OF THE UNITED STATES. WHICH OF THE FOLLOWING BEST DESCRIBES YOUR “U.S. PERSON” STATUS?

Missing entry for required field: DUE TO SEC AUDITOR INDEPENDENCE REQUIREMENTS, PLEASE LET US KNOW WHETHER YOU HAVE PREVIOUSLY WORKED AT, OR IF CURRENTLY WORKING AT PRICEWATERHOUSECOOPERS (PWC), WHO IS OUR INDEPENDENT AUDITOR.

Missing entry for required field: HAVE YOU EVER BEEN DIRECTLY EMPLOYED BY (1) ANY GOVERNMENT OR MILITARY ENTITY, STATE-OWNED ENTERPRISE, OR PUBLICLY-FUNDED INSTITUTION, OR (2) A GOVERNMENT CONTRACTOR IN A ROLE THAT RECOMMENDED SNOWFLAKE AS PART OF GOVERNMENT PROCUREMENT?

Missing entry for required field: IN ANY MATERIALS YOU SUBMIT, YOU MAY REDACT OR REMOVE AGE-IDENTIFYING INFORMATION SUCH AS AGE, DATE OF BIRTH, OR DATES OF SCHOOL ATTENDANCE OR GRADUATION. YOU WILL NOT BE PENALIZED FOR REDACTING OR REMOVING THIS INFORMATION.

Missing entry for required field: SNOWFLAKE WILL PROCESS YOUR PERSONAL INFORMATION IN ACCORDANCE WITH THE SNOWFLAKE CANDIDATE PRIVACY NOTICE.; Missing entry for required field: SCHOOL NAME

Missing entry for required field: DEGREE

Missing entry for required field: DISCIPLINE

Missing entry for required field: WILL YOU REQUIRE COMPANY SPONSORSHIP NOW OR IN THE FUTURE TO MAINTAIN OR EXTEND YOUR CURRENT WORK AUTHORIZATION STATUS? 

Missing entry for required field: FOR THE LOCATION SPECIFIED IN THE JD, DO YOU REQUIRE IMMIGRATION SPONSORSHIP TO ESTABLISH, CONTINUE, OR EXTEND YOUR CURRENT WORK AUTHORIZATION STATUS, EITHER NOW OR IN THE FUTURE? (FOR EXAMPLE – THIS MAY BE J1, TN, F1, SCHENGEN VISA TYPE C OR D, STUDENT RESIDENCE PERMIT, ETC. THIS MAY BE SPONSORSHIP YOU HAVE ALREADY ARRANGED, OR SPONSORSHIP VIA SNOWFLAKE OR YOUR SCHOOL.) PLEASE INDICATE YES IF YOU HAVE OR NEED ANY IMMIGRATION SPONSORSHIP, OR IF YOU ARE UNSURE. IF YES, YOU WILL RECEIVE A FOLLOW-UP CHECKLIST WHERE YOU CAN INPUT DETAILED INFORMATION PERTAINING TO YOUR CURRENTLY HELD VISA AND/OR ADDITIONAL VISA NEEDS.

Missing entry for required field: PLEASE CONFIRM THE NUMBER OF HOURS PER WEEK YOU CAN WORK AND BE PRESENT IN THE OFFICE LOCATION SPECIFIED IN THE JOB DESCRIPTION (FULL-TIME IS 40 HOURS PER WEEK)

Missing entry for required field: IN OFFICE ATTENDANCE IS AN ESSENTIAL FUNCTION FOR THIS ROLE AND NECESSARY TO ENABLE EFFECTIVE TEAMWORK AND COLLABORATION. DO YOU CURRENTLY RESIDE WITHIN COMMUTING DISTANCE OR ARE YOU OPEN TO RELOCATION TO THE LOCAL SNOWFLAKE OFFICE(S) DESIGNATED IN THIS POST?

Missing entry for required field: WHERE HAVE YOU MOST RECENTLY WORKED?

Missing entry for required field: HAVE YOU WORKED AT SNOWFLAKE IN THE PAST IN A FULL-TIME, PART-TIME, CONTRACTOR OR INTERN CAPACITY?

Missing entry for required field: FOR SNOWFLAKE TO ANTICIPATE POSSIBLE IMMIGRATION TIMELINES AND OBLIGATIONS, COULD YOU CONFIRM YOU ARE CURRENTLY AUTHORIZED TO WORK IN THE COUNTRY TO WHICH YOU ARE APPLYING?

Missing entry for required field: A “U.S. PERSON” IS A CITIZEN, LEGAL PERMANENT RESIDENT, OR LEGAL TEMPORARY RESIDENT (I.E., A REFUGEE OR ASYLEE) OF THE UNITED STATES. WHICH OF THE FOLLOWING BEST DESCRIBES YOUR “U.S. PERSON” STATUS?

Missing entry for required field: DUE TO SEC AUDITOR INDEPENDENCE REQUIREMENTS, PLEASE LET US KNOW WHETHER YOU HAVE PREVIOUSLY WORKED AT, OR IF CURRENTLY WORKING AT PRICEWATERHOUSECOOPERS (PWC), WHO IS OUR INDEPENDENT AUDITOR.

Missing entry for required field: HAVE YOU EVER BEEN DIRECTLY EMPLOYED BY (1) ANY GOVERNMENT OR MILITARY ENTITY, STATE-OWNED ENTERPRISE, OR PUBLICLY-FUNDED INSTITUTION, OR (2) A GOVERNMENT CONTRACTOR IN A ROLE THAT RECOMMENDED SNOWFLAKE AS PART OF GOVERNMENT PROCUREMENT?

Missing entry for required field: IN ANY MATERIALS YOU SUBMIT, YOU MAY REDACT OR REMOVE AGE-IDENTIFYING INFORMATION SUCH AS AGE, DATE OF BIRTH, OR DATES OF SCHOOL ATTENDANCE OR GRADUATION. YOU WILL NOT BE PENALIZED FOR REDACTING OR REMOVING THIS INFORMATION.

Missing entry for required field: SNOWFLAKE WILL PROCESS YOUR PERSONAL INFORMATION IN ACCORDANCE WITH THE SNOWFLAKE CANDIDATE PRIVACY NOTICE.; Missing entry for required field: SCHOOL NAME"
